# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,2.317331470363655512e+02,6.724269460482765908e+02,2.317331470363655512e+02,6.724269460482765908e+02,2.317331470363655512e+02,6.724269460482765908e+02
3.336746302616609705e-02,2.403055528752967973e+02,6.700050800229315655e+02,2.317331470363655512e+02,6.724269460482765908e+02,2.317758442665261782e+02,6.724148832769793671e+02
6.673492605233219410e-02,2.502533153440875253e+02,6.706502168995010607e+02,2.317758953591595059e+02,6.724148688423485964e+02,2.318678168090226563e+02,6.724060900536852614e+02
1.001023890784982912e-01,2.627045951735188964e+02,6.711741377244072737e+02,2.318681339761365905e+02,6.724060497582323706e+02,2.320219712840092541e+02,6.723999039806865312e+02
1.334698521046643882e-01,2.678852834955770277e+02,6.737856283986895960e+02,2.320231966945576403e+02,6.723998253819195270e+02,2.322038604208245260e+02,6.724068066916873931e+02
1.668373151308304991e-01,2.776721321390917296e+02,6.749894714605153467e+02,2.322071713731223213e+02,6.724067949812517782e+02,2.324412166369318129e+02,6.724200901251987261e+02
2.002047781569965823e-01,2.866505771525779664e+02,6.774864888176743989e+02,2.324494106928043209e+02,6.724203339644325297e+02,2.327399105358957172e+02,6.724474868337538283e+02
2.335722411831626655e-01,3.000159702297665376e+02,6.795215549039849066e+02,2.327583315140066986e+02,6.724486228638014609e+02,2.331437907299319363e+02,6.724891584355307259e+02
2.669397042093287764e-01,2.764739340513812635e+02,6.783167933554559568e+02,2.331831601338950577e+02,6.724924043971793708e+02,2.334576059092060802e+02,6.725293286375824664e+02
3.003071672354948873e-01,3.307504904873803184e+02,6.824670391073557312e+02,2.335206400500991322e+02,6.725355153096489857e+02,2.342288764299082686e+02,6.726078579742611510e+02
3.336746302616609983e-01,3.500079111809845926e+02,6.833310691763839486e+02,2.343620187369313612e+02,6.726212070280010948e+02,2.353664873567913105e+02,6.727142299639975818e+02
3.670420932878270537e-01,3.709315672325050741e+02,6.842441738496440848e+02,2.356225745011810773e+02,6.727391104837315652e+02,2.370684604642953559e+02,6.728620513858085133e+02
