# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,2.311502644778211675e+02,6.725366171680761909e+02,2.311502644778211675e+02,6.725366171680761909e+02,2.311502644778211675e+02,6.725366171680761909e+02
3.336746302616609705e-02,2.409275148381871645e+02,6.706763468734394564e+02,2.311502644778211675e+02,6.725366171680761909e+02,2.312711051501374300e+02,6.725136253958694397e+02
6.673492605233219410e-02,2.492933433247585242e+02,6.707546316734669745e+02,2.312712430206168506e+02,6.725135991639178883e+02,2.314920271951395137e+02,6.724920504998422075e+02
1.001023890784982912e-01,2.618042205024172517e+02,6.710039878928777171e+02,2.314927086425786342e+02,6.724919709995490393e+02,2.318618647334406262e+02,6.724738492367855542e+02
1.334698521046643882e-01,2.696807392588755761e+02,6.727082765052230116e+02,2.318641093161874096e+02,6.724736916474380450e+02,2.323237569053761149e+02,6.724765429423446221e+02
1.668373151308304991e-01,2.781156102465380968e+02,6.752662293468351891e+02,2.323291759730996944e+02,6.724763969164075661e+02,2.328877154737160993e+02,6.725104295209818019e+02
2.002047781569965823e-01,2.871559946146574021e+02,6.774118762870230057e+02,2.328992609335093675e+02,6.725106275612162108e+02,2.335689470863640054e+02,6.725711232486761446e+02
2.335722411831626655e-01,3.004800631913450957e+02,6.796898192754646288e+02,2.335918600403002756e+02,6.725722905418049322e+02,2.344367987651327780e+02,6.726621999035289718e+02
2.669397042093287764e-01,2.830377468811528843e+02,6.765030723754186965e+02,2.344810573329143040e+02,6.726655472215011287e+02,2.351184447728455496e+02,6.727159211320021086e+02
3.003071672354948873e-01,3.307728998948708750e+02,6.824426332907562482e+02,2.351874625792369216e+02,6.727212497985007076e+02,2.365164155735868690e+02,6.728564091079527998e+02
3.336746302616609983e-01,3.500079111809847632e+02,6.833310691761898852e+02,2.366499009424275357e+02,6.728681719666243453e+02,2.383565592597379350e+02,6.730256958196656569e+02
3.670420932878270537e-01,3.711949045498199098e+02,6.843306907911500048e+02,2.385990627635487442e+02,6.730475173882317677e+02,2.408124058388988544e+02,6.732358606528688370e+02
